Date,Title,URL
2019-03-28,Jyoti Bikas Bank inks deal of bancassurance with Sagarmatha Insurance Company,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-inks-deal-of-bancassurance-with-sagarmatha-insurance-company
2019-03-26,More than 1.34 million units Promoter Shares of Jyoti Bikas Bank converted to ordinary shares; Promoter Public shareholding ratio stands at 55:45,https://www.sharesansar.com/newsdetail/more-than-134-million-units-promoter-shares-of-jyoti-bikas-bank-converted-to-ordinary-shares-promoter-public-shareholding-ratio-stands-at-5545
2019-03-20,Jyoti Bikas Bank and Everest Insurance join hands under bancassurance agreement,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-and-everest-insurance-join-hands-under-bancassurance-agreement
2019-03-13,Jyoti Bikash Bank and Hamro Bikash Bank to start joint transaction from Chaitra 15; Swap ratio at 1:1,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-and-hamro-bikash-bank-to-start-joint-transaction-from-chaitra-15-swap-ratio-at-11
2019-03-11,Jyoti Bikas Bank supports fire victim from Bhattadada of Lalitpur with Rs 50K; also facilitated to raise more than 7 lakh in her support,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-supports-fire-victim-from-bhattadada-of-lalitpur-with-rs-50k-also-facilitated-to-raise-more-than-7-lakh-in-her-support
2019-02-21,Jyoti Bikas Bank makes a quantum growth in branch network; inaugurates 5 branches on a single day,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-makes-a-quantum-growth-in-branch-network-inaugurates-5-branches-on-a-single-day
2019-02-14,Do you have shares of Development Banks? Find out how national level and regional level development banks performed this quarter. Muktinath and Excel in the lead,https://www.sharesansar.com/newsdetail/do-you-have-shares-of-development-banks-find-out-how-national-level-and-regional-level-development-banks-performed-this-quarter-muktinath-and-excel-in-the-lead
2019-02-01,Jyoti Bikas Bank expands rapidly; adds one more branch at Dharan,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-expands-rapidly-adds-one-more-branch-at-dharan
2019-01-31,"Jyoti Bikas Bank expands rapidly and massively; adds 5 more branches on single day in Haribun, Rupani, Parwanipur, Nijgadh and Gaighat",https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-expands-rapidly-and-massively-adds-5-more-branches-on-single-day-in-haribun-rupani-parwanipur-nijgadh-and-gaighat
2019-01-30,Jyoti Bikas Bank reaches out to Sindulibazar folks in Kamalamai Nagarpalika with 82nd branch,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-reaches-out-to-sindulibazar-folks-in-kamalamai-nagarpalika-with-82nd-branch
2019-01-23,Jyoti Bikas Bank registers Rs 17 crore profit in Q2; EPS and Net worth per share stand at Rs 13.14 and Rs 117.64 respectively,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-registers-rs-17-crore-profit-in-q2-eps-and-net-worth-per-share-stand-at-rs-1314-and-rs-11764-respectively
2019-01-22,Let's see the branch and ATM count of national level development banks,https://www.sharesansar.com/newsdetail/lets-see-the-branch-and-atm-count-of-national-level-development-banks
2019-01-21,"14 development banks yet to convene AGM; Post proposed M&A, the number to come down to 26 from 32",https://www.sharesansar.com/newsdetail/14-development-banks-yet-to-convene-agm-post-proposed-ma-the-number-to-come-down-to-26-from-32
2018-12-30,Good news for Customers and employees of Jyoti Bikas Bank; to receive special discount in hospital services,https://www.sharesansar.com/newsdetail/good-news-for-customers-and-employees-of-jyoti-bikas-bank-to-receive-special-discount-in-hospital-services
2018-12-27,Good news for Customers and employees of Jyoti Bikas Bank; Chirayu hospital to provide special discount in its services to customers and employees,https://www.sharesansar.com/newsdetail/good-news-for-customers-and-employees-of-jyoti-bikas-bank-chirayu-hospital-to-provide-special-discount-in-its-services-to-customers-and-employees
