Date,Open,High,Low,Close,Volume
12/29/2019,1166.86,1167.24,1159.23,1162.43,422453920
12/30/2019,1161.82,1167.96,1159.25,1167.95,622363520
12/31/2019,1168.61,1171.04,1163.02,1166.03,442256160
1/1/2020,1166.52,1169.5,1164,1169.5,372988288
1/2/2020,1168.3,1169.27,1165.25,1166.21,532211200
1/5/2020,1166.49,1187.33,1163.4,1182.31,712425856
1/6/2020,1183.36,1200.7,1183.36,1200.69,842582144
1/7/2020,1200.66,1218.15,1200.66,1216.92,1102736768
1/8/2020,1217.78,1223.67,1207.27,1209.6,732169280
1/9/2020,1209.87,1216.23,1206.5,1213.11,837035776
1/12/2020,1213.19,1255.72,1213.19,1255.72,1335747968
1/13/2020,1260.02,1285.31,1259.34,1270.87,1665520000
1/14/2020,1271.12,1273.3,1254.3,1263.38,1026443648
1/15/2020,1263.32,1287.2,1263.32,1284.23,893676992
1/16/2020,1284.29,1313.59,1284.29,1310.23,1682329984
1/19/2020,1310.27,1349.11,1310.27,1343.66,2067830016
1/20/2020,1342.7,1359.32,1308.63,1317.11,1953779968
1/21/2020,1318.66,1331.33,1309.15,1320.47,1226429952
1/22/2020,1324.32,1325.7,1310.65,1313.42,1581381376
1/23/2020,1314.17,1320.77,1295.39,1297.47,1384209408
1/26/2020,1298.67,1299.47,1275.52,1276.68,965018688
1/27/2020,1276.68,1300.63,1274.03,1300.62,917359872
1/28/2020,1300.66,1316.44,1300.66,1306.15,1400467840
1/29/2020,1306.16,1311.75,1302.15,1305.88,1293711360
1/30/2020,1306.29,1332.29,1306.29,1325.38,1966219776
2/2/2020,1325.62,1350.14,1325.61,1346.65,2051670016
2/3/2020,1347.84,1355.28,1339.61,1349.13,1611719168
2/4/2020,1351.01,1353.28,1334.92,1337.04,1570166144
2/5/2020,1338.51,1342.63,1335.73,1342.36,1082483968
2/6/2020,1341.23,1346.61,1332.71,1333.69,1049345408
2/9/2020,1332.91,1333.86,1316.1,1319.99,950402560
2/10/2020,1320.77,1329.85,1315.37,1324.26,932086080
2/11/2020,1324.31,1342.91,1323.31,1341.38,1532250496
2/12/2020,1341.08,1353.29,1340.87,1345.97,1509784320
2/13/2020,1346.45,1354.88,1342.9,1344.59,1773805696
2/16/2020,1344.73,1363.98,1344.73,1363.97,1978108672
2/17/2020,1364.35,1403.21,1364.35,1398.24,2687533568
2/18/2020,1399.47,1416.87,1387.68,1400.01,2125977088
2/19/2020,1399.3,1406.25,1389.13,1405.25,1628841344
2/20/2020,1405.51,1434.58,1405.51,1434.57,5453766656
2/23/2020,1435.87,1509.92,1435.87,1504.14,3608526336
2/24/2020,1507.98,1536.83,1499.04,1502.18,3410516224
2/25/2020,1504.8,1545.19,1479.92,1545.19,2992160512
2/26/2020,1548.32,1596.13,1548.32,1596.13,4154883072
2/27/2020,1598.81,1635.51,1558.65,1632.17,4460536320
3/1/2020,1639.87,1667.74,1591.36,1591.36,4847437312
3/2/2020,1593.08,1593.5,1495.3,1495.3,2154428160
3/3/2020,1491.23,1540.59,1439.53,1509.67,3851622912
3/4/2020,1511.41,1513.43,1439.38,1441.2,2908472576
3/5/2020,1442.92,1464.62,1408.82,1435.7,2457093376
3/10/2020,1435.86,1436.66,1349.31,1349.31,1076696320
3/11/2020,1349.86,1423.09,1349.86,1423.09,2221081600
3/12/2020,1424.6,1430.77,1371.56,1377.18,2206662144
3/15/2020,1362.25,1362.25,1310.72,1313.04,2101417344
3/16/2020,1312.69,1334.12,1291.68,1316.39,1615341824
3/17/2020,1316.74,1321.47,1266.44,1272.06,1465184640
3/18/2020,1272.1,1286.97,1234.16,1255.8,1184416896
3/19/2020,1249.26,1279.01,1223.04,1269.3,1903142016
3/22/2020,1269.08,1275.42,1246.2,1251.46,184540992
5/12/2020,1250.95,1250.95,1226.15,1226.15,104372648
5/13/2020,1225.68,1225.68,1201.57,1201.57,3613523
6/29/2020,1197.09,1200.64,1149.73,1188.7,347771840
